publisher_id,publisher_name
300,White Park Bay Software
301,Vic Tokai
302,Media Factory
303,Daedalic
304,Game Arts
305,The Adventure Company
306,EA Games
307,Acquire
308,Broccoli
309,General Entertainment
310,Paradox Interactive
311,Yacht Club Games
312,Imadio
313,Swing! Entertainment
314,Sony Music Entertainment
315,Aqua Plus
316,Excalibur Publishing
317,Hip Interactive
318,Tripwire Interactive
319,DreamCatcher Interactive
320,SCS Software
321,Havas Interactive
322,Sting
323,Idea Factory
324,Telstar
325,U.S. Gold
326,Funsta
327,DreamWorks Interactive
328,Slitherine Software
329,MTO
330,Graffiti
331,Tru Blu Entertainment
332,DHM Interactive
333,Crytek
334,FunSoft
335,Data Design Interactive
336,SPS
337,Moss
338,T&E Soft
339,NDA Productions
340,Bigben Interactive
341,Data East
342,Idea Factory International
343,Time Warner Interactive
344,Gainax Network Systems
345,Daito
346,O3 Entertainment
347,O-Games
348,Gameloft
349,Xicat Interactive
350,Simon & Schuster Interactive
351,Valcon Games
352,PopTop Software
353,TOHO
354,PM Studios
355,Bohemia Interactive
356,Reef Entertainment
357,5pb
358,HMH Interactive
359,inXile Entertainment
360,Cave
361,Microids
362,Paon
363,CDV Software Entertainment
364,Micro Cabin
365,GameTek
366,Benesse
367,Type-Moon
368,Enjoy Gaming ltd.
369,Asmik Corp
370,Interplay Productions
371,Asmik Ace Entertainment
372,Image Epoch
373,Phantom EFX
374,Evolved Games
375,responDESIGN
376,Griffin International
377,Culture Publishers
378,Hackberry
379,Hearty Robin
380,Nippon Amuse
381,Origin Systems
382,Seventh Chord
383,Abylight
384,Mitsui
385,Insomniac Games
386,Flight-Plan
387,Milestone
388,Glams
389,Aksys Games
390,Locus
391,Warp
392,Irem Software Engineering
393,Myelin Media
394,Global A Entertainment
395,Alternative Software
396,Mercury Games
397,Sunrise Interactive
398,Elite
399,Evolution Games
400,Daedalic Entertainment
401,Edia
402,Athena
403,Aria
404,Tivola
405,Happinet
406,Tommo
407,Altron
408,Revolution Software
409,Media Works
410,Fortyfive
411,Gamecock
412,Imax
413,10TACLE Studios
414,Groove Games
415,Pack-In-Video
416,Crimson Cow
417,iWin
418,Asgard
419,Ecole
420,Yumedia
421,Ascaron Entertainment GmbH
422,HAL Laboratory
423,Phenomedia
424,Grand Prix Games
425,DigiCube
426,Creative Core
427,Kaga Create
428,WayForward Technologies
429,LSP Games
430,ASCII Media Works
431,1C Company
432,Coconuts Japan
433,Arika
434,Marvel Entertainment
435,Ertain
436,Prototype
437,Phantagram
438,The Learning Company
439,TechnoSoft
440,MLB.com
441,Vap
442,Misawa
443,Yeti
444,Dusenberry Martin Racing
445,Navarre Corp
446,Pow
447,MediaQuest
448,Team17 Software
449,Max Five
450,Tradewest
451,Comfort
452,Milestone S.r.l
453,Pony Canyon
454,Riverhillsoft
455,Summitsoft
456,Playmore
457,Kool Kizz
458,Monte Christo Multimedia
459,TopWare Interactive
460,Legacy Interactive
461,Cloud Imperium Games Corporation
462,Flashpoint Games
463,CyberFront
464,Alawar Entertainment
465,Societa
466,Interchannel
467,Experience Inc.
468,Sonnet
469,Virtual Play Games
470,Zenrin
471,Iceberg Interactive
472,Ivolgamus
473,MC2 Entertainment
474,2D Boy
475,Games Workshop
476,Kando Games
477,Office Create
478,Maximum Family Games
479,Fields
480,Gearbox Software
481,Princess Soft
482,Extreme Entertainment Group
483,Big Fish Games
484,Berkeley
485,Mamba Games
486,Fuji
487,FuRyu Corporation
488,Her Interactive
489,imageepoch Inc.
490,Just Flight
491,Kamui
492,ASK
493,Cygames
494,Introversion Software
495,49Games
496,KSS
497,dramatic create
498,TGL
499,KID
500,Quinrose
501,Sold Out
502,Encore
503,G.Rev
504,Sunflowers
505,Headup Games
506,Sweets
507,Kokopeli Digital Studios
508,id Software
509,Nexon
510,BushiRoad
511,Devolver Digital
512,Number None
513,Tryfirst
514,GN Software
515,Yuke's
516,Strategy First
517,Lexicon Entertainment
518,Paon Corporation
519,Kids Station
520,Licensed 4U
521,GOA
522,7G//AMES
523,King Records
524,Minato Station
525,Graphsim Entertainment
526,Easy Interactive
527,Gaga
528,Yamasa Entertainment
529,Plenty
530,Views
531,Blue Byte
532,fonfun
533,NetRevo
534,Epic Games
535,Quintet
536,Focus Multimedia
537,Phoenix Games
538,Marvelous Games
539,Dorart
540,Codemasters Online
541,Stainless Games
542,Aerosoft
543,Imageworks
544,Karin Entertainment
545,Technos Japan Corporation
546,Masque Publishing
547,Gakken
548,New World Computing
549,Mirai Shounen
550,Datam Polystar
551,HuneX
552,Visco
553,Saurus
554,Revolution (Japan)
555,Giza10
556,Alvion
557,Giga
558,Mycom
559,Warashi
560,System Soft
561,RED Entertainment
562,Lighthouse Interactive
563,Michaelsoft
564,Media Entertainment
565,Genterprise
566,"Interworks Unlimited, Inc."
567,Inti Creates
568,Boost On
569,EON Digital Entertainment
570,Nitroplus
571,Naxat Soft
572,Piacci
573,Paradox Development
574,Otomate
575,Ascaron Entertainment
576,Ongakukan
577,Commseed
578,UIG Entertainment
579,Takuyo
580,Interchannel-Holon
581,Red Flagship
